Order_ID,Product,City,Quantity,Unit_Price,Total_Amount
10003,Snacks,Coimbatore,2,214.73,429.46
10011,Coffee,Salem,4,30.38,121.52
10006,Coffee,Salem,4,471.87,1887.48
10011,Tea,Coimbatore,9,90.91,818.19
10003,Snacks,Trichy,3,96.61,289.83
10006,Tea,Salem,2,292.07,584.14
10009,Tea,Chennai,7,249.35,1745.45
10007,juice,Chennai,2,300.32,600.64
10010,Tea,Madurai,4,490.73,1962.92
10010,Snacks,Coimbatore,10,115.29,1152.9
10003,Tea,Trichy,9,267.92,2411.28
10004,juice,Chennai,5,21.67,118.35
10006,Tea,Trichy,6,88.01,528.0600000000001
10005,Coffee,Chennai,2,59.43,118.86
10002,Juice,Chennai,8,134.5,1076.0
10004, Cake ,Chennai,10,212.09,2120.9
10002,Snacks,Chennai,1,327.25,327.25
10009,CAKE,Chennai,8,72.52,580.16
10002,Snacks,Trichy,4,29.79,119.16
10010,Tea,Coimbatore,7,418.82,2931.74
10004,Snacks,Salem,9,210.2,1891.8
10002,juice,Coimbatore,10,366.0,3660.0
10006,juice,Chennai,5,257.85,1289.25
10007,Snacks,Trichy,3,470.85,1412.5500000000002
10004,Cake,Madurai,10,249.7,2497.0
10026,juice,Madurai,8,37.31,298.48
10027,Tea,Chennai,1,208.28,208.28
10028,juice,Madurai,8,249.7,1997.6
10029,Tea,Salem,6,401.98,2411.88
10030, Cake ,Trichy,3,47.16,141.48
10031,CAKE,Coimbatore,9,27.4,246.6
10032,juice,Coimbatore,9,332.64,2993.76
10033,Cake,Coimbatore,5,321.58,1607.9
10034,Coffee,Chennai,1,220.37,220.37
10035,Tea,Coimbatore,7,263.9,1847.3
10036,Tea,Trichy,4,28.2,112.8
10037,Tea,Coimbatore,5,169.75,897.75
10038,Coffee,Salem,9,311.66,2804.94
10039,Snacks,Chennai,9,343.24,3089.16
10040,Tea,Salem,7,185.13,1295.91
10041,Coffee,Coimbatore,2,285.88,571.76
10042, Cake ,Salem,6,364.63,2187.78
10043,Coffee,Coimbatore,2,451.63,911.26
10044,juice,Chennai,10,122.74,1227.4
10045,Coffee,Coimbatore,10,302.18,3021.8
10046,Snacks,Coimbatore,2,230.89,461.78
10047,Snacks,Chennai,9,249.7,2247.3
10048, Cake ,Salem,5,393.68,1968.4
10049,Tea,Chennai,4,188.92,755.68
10050,Juice,Coimbatore,5,437.14,2185.7
10051,CAKE,Madurai,5,265.65,1328.25
10052,juice,Chennai,5,410.4,2052.0
10053,Tea,Chennai,4,171.1,684.4
10054, Cake ,Salem,10,216.92,2169.2
